productID,serialNumber,productName,productModel,description,distributerInfo,warranty,price,stock,categoryID,amountSold,discountPrice,image
1,1,iPhone 15,Pro Max,iPhone 15 (Pro Max) is a high-quality product in the Electronics category.,Electronics distributor information.,2 years warranty,972.2,194,1,795,769.4,https://example.com/images/product/iphone_15.jpg
2,2,Samsung Galaxy S23,Ultra,Samsung Galaxy S23 (Ultra) is a high-quality product in the Electronics category.,Electronics distributor information.,2 years warranty,14.83,496,1,292,13.24,https://example.com/images/product/samsung_galaxy_s23.jpg
3,3,Sony WH-1000XM5,Headphones,Sony WH-1000XM5 (Headphones) is a high-quality product in the Electronics category.,Electronics distributor information.,2 years warranty,711.78,426,1,102,572.82,https://example.com/images/product/sony_wh-1000xm5.jpg
4,4,Apple Watch,Series 8,Apple Watch (Series 8) is a high-quality product in the Electronics category.,Electronics distributor information.,3 years warranty,144.42,191,1,24,117.57,https://example.com/images/product/apple_watch.jpg
5,5,Amazon Echo,Dot 5th Gen,Amazon Echo (Dot 5th Gen) is a high-quality product in the Electronics category.,Electronics distributor information.,2 years warranty,73.42,371,1,498,45.1,https://example.com/images/product/amazon_echo.jpg
6,6,Dell XPS,13 Plus,Dell XPS (13 Plus) is a high-quality product in the Electronics category.,Electronics distributor information.,1 years warranty,812.25,222,1,0,550.37,https://example.com/images/product/dell_xps.jpg
7,7,GoPro Hero,11 Black,GoPro Hero (11 Black) is a high-quality product in the Electronics category.,Electronics distributor information.,1 years warranty,495.93,473,1,822,303.02,https://example.com/images/product/gopro_hero.jpg
8,8,Atomic Habits,Self-help,Atomic Habits (Self-help) is a high-quality product in the Books category.,Books distributor information.,2 years warranty,210.46,334,2,214,,https://example.com/images/product/atomic_habits.jpg
9,9,The Alchemist,Fiction,The Alchemist (Fiction) is a high-quality product in the Books category.,Books distributor information.,2 years warranty,669.46,156,2,899,,https://example.com/images/product/the_alchemist.jpg
10,10,Dune,Sci-Fi,Dune (Sci-Fi) is a high-quality product in the Books category.,Books distributor information.,3 years warranty,901.07,419,2,392,,https://example.com/images/product/dune.jpg
11,11,Sapiens,History,Sapiens (History) is a high-quality product in the Books category.,Books distributor information.,2 years warranty,739.68,314,2,662,,https://example.com/images/product/sapiens.jpg
12,12,Educated,Memoir,Educated (Memoir) is a high-quality product in the Books category.,Books distributor information.,1 years warranty,686.52,51,2,886,562.94,https://example.com/images/product/educated.jpg
13,13,The Subtle Art,Self-help,The Subtle Art (Self-help) is a high-quality product in the Books category.,Books distributor information.,2 years warranty,9.38,441,2,912,4.85,https://example.com/images/product/the_subtle_art.jpg
14,14,Harry Potter,Fantasy,Harry Potter (Fantasy) is a high-quality product in the Books category.,Books distributor information.,2 years warranty,846.35,215,2,914,,https://example.com/images/product/harry_potter.jpg
15,15,Wilson Basketball,Evolution,Wilson Basketball (Evolution) is a high-quality product in the Sports category.,Sports distributor information.,1 years warranty,701.88,402,3,665,424.53,https://example.com/images/product/wilson_basketball.jpg
16,16,Nike Soccer Ball,Strike,Nike Soccer Ball (Strike) is a high-quality product in the Sports category.,Sports distributor information.,2 years warranty,300.99,360,3,51,246.01,https://example.com/images/product/nike_soccer_ball.jpg
17,17,Adidas Running Shoes,Ultraboost,Adidas Running Shoes (Ultraboost) is a high-quality product in the Sports category.,Sports distributor information.,2 years warranty,338.14,318,3,62,,https://example.com/images/product/adidas_running_shoes.jpg
18,18,Fitbit Versa,3,Fitbit Versa (3) is a high-quality product in the Sports category.,Sports distributor information.,2 years warranty,300.24,7,3,862,,https://example.com/images/product/fitbit_versa.jpg
19,19,Under Armour Gloves,Hustle,Under Armour Gloves (Hustle) is a high-quality product in the Sports category.,Sports distributor information.,1 years warranty,119.54,374,3,758,107.57,https://example.com/images/product/under_armour_gloves.jpg
20,20,Yonex Badminton Racket,Nanoray,Yonex Badminton Racket (Nanoray) is a high-quality product in the Sports category.,Sports distributor information.,1 years warranty,228.13,0,3,142,126.54,https://example.com/images/product/yonex_badminton_racket.jpg
21,21,Peloton Bike,Plus,Peloton Bike (Plus) is a high-quality product in the Sports category.,Sports distributor information.,2 years warranty,156.6,79,3,860,,https://example.com/images/product/peloton_bike.jpg
22,22,Dyson Vacuum Cleaner,V15,Dyson Vacuum Cleaner (V15) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,3 years warranty,561.29,81,4,128,445.72,https://example.com/images/product/dyson_vacuum_cleaner.jpg
23,23,KitchenAid Mixer,Pro 5,KitchenAid Mixer (Pro 5) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,3 years warranty,524.82,82,4,49,422.3,https://example.com/images/product/kitchenaid_mixer.jpg
24,24,Philips Air Fryer,XL,Philips Air Fryer (XL) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,1 years warranty,900.69,178,4,658,524.84,https://example.com/images/product/philips_air_fryer.jpg
25,25,LG Refrigerator,InstaView,LG Refrigerator (InstaView) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,1 years warranty,943.74,323,4,611,695.71,https://example.com/images/product/lg_refrigerator.jpg
26,26,Samsung Washer,Front Load,Samsung Washer (Front Load) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,1 years warranty,698.55,227,4,927,448.96,https://example.com/images/product/samsung_washer.jpg
27,27,Instant Pot,Duo 7-in-1,Instant Pot (Duo 7-in-1) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,3 years warranty,264.69,162,4,308,219.87,https://example.com/images/product/instant_pot.jpg
28,28,Breville Espresso Machine,Barista Pro,Breville Espresso Machine (Barista Pro) is a high-quality product in the Home Appliances category.,Home Appliances distributor information.,3 years warranty,880.54,209,4,298,,https://example.com/images/product/breville_espresso_machine.jpg
29,29,LEGO Star Wars Set,Millennium Falcon,LEGO Star Wars Set (Millennium Falcon) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,843.15,342,5,902,531.73,https://example.com/images/product/lego_star_wars_set.jpg
30,30,Barbie Dreamhouse,2024 Edition,Barbie Dreamhouse (2024 Edition) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,990.1,174,5,435,,https://example.com/images/product/barbie_dreamhouse.jpg
31,31,Hot Wheels Track,Super Loop,Hot Wheels Track (Super Loop) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,886.5,45,5,610,,https://example.com/images/product/hot_wheels_track.jpg
32,32,Nerf Blaster,Elite 2.0,Nerf Blaster (Elite 2.0) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,770.35,295,5,10,550.64,https://example.com/images/product/nerf_blaster.jpg
33,33,Play-Doh Kit,Mega Pack,Play-Doh Kit (Mega Pack) is a high-quality product in the Toys category.,Toys distributor information.,1 years warranty,315.43,73,5,81,189.26,https://example.com/images/product/play-doh_kit.jpg
34,34,Fisher-Price Play Gym,Deluxe,Fisher-Price Play Gym (Deluxe) is a high-quality product in the Toys category.,Toys distributor information.,2 years warranty,570.07,491,5,114,450.07,https://example.com/images/product/fisher-price_play_gym.jpg
35,35,Rubik's Cube,3x3 Classic,Rubik's Cube (3x3 Classic) is a high-quality product in the Toys category.,Toys distributor information.,3 years warranty,227.54,19,5,741,194.5,https://example.com/images/product/rubik's_cube.jpg
36,36,L'Oréal Paris Shampoo,Elvive,L'Oréal Paris Shampoo (Elvive) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,350.73,385,6,762,298.82,https://example.com/images/product/l'oréal_paris_shampoo.jpg
37,37,Maybelline Mascara,Lash Sensational,Maybelline Mascara (Lash Sensational) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,1 years warranty,756.35,431,6,995,647.73,https://example.com/images/product/maybelline_mascara.jpg
38,38,Olay Face Cream,Regenerist,Olay Face Cream (Regenerist) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,805.62,119,6,523,570.46,https://example.com/images/product/olay_face_cream.jpg
39,39,Dove Body Wash,Deep Moisture,Dove Body Wash (Deep Moisture) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,2 years warranty,583.9,469,6,47,,https://example.com/images/product/dove_body_wash.jpg
40,40,MAC Lipstick,Matte Ruby Woo,MAC Lipstick (Matte Ruby Woo) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,91.46,171,6,40,,https://example.com/images/product/mac_lipstick.jpg
41,41,Clinique Foundation,Even Better,Clinique Foundation (Even Better) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,2 years warranty,773.39,132,6,918,,https://example.com/images/product/clinique_foundation.jpg
42,42,Neutrogena Sunscreen,SPF 50,Neutrogena Sunscreen (SPF 50) is a high-quality product in the Beauty Products category.,Beauty Products distributor information.,3 years warranty,439.79,42,6,308,,https://example.com/images/product/neutrogena_sunscreen.jpg
43,43,PlayStation 5,Disc Edition,PlayStation 5 (Disc Edition) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,76.66,402,7,419,58.42,https://example.com/images/product/playstation_5.jpg
44,44,Xbox Series X,Halo Infinite,Xbox Series X (Halo Infinite) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,7.76,454,7,321,6.63,https://example.com/images/product/xbox_series_x.jpg
45,45,Nintendo Switch,OLED,Nintendo Switch (OLED) is a high-quality product in the Gaming category.,Gaming distributor information.,2 years warranty,394.68,448,7,482,252.71,https://example.com/images/product/nintendo_switch.jpg
46,46,Razer Gaming Mouse,DeathAdder,Razer Gaming Mouse (DeathAdder) is a high-quality product in the Gaming category.,Gaming distributor information.,1 years warranty,760.25,328,7,951,574.14,https://example.com/images/product/razer_gaming_mouse.jpg
47,47,SteelSeries Headset,Arctis 7,SteelSeries Headset (Arctis 7) is a high-quality product in the Gaming category.,Gaming distributor information.,3 years warranty,79.56,72,7,332,68.16,https://example.com/images/product/steelseries_headset.jpg
48,48,Alienware Gaming Laptop,m15 R6,Alienware Gaming Laptop (m15 R6) is a high-quality product in the Gaming category.,Gaming distributor information.,2 years warranty,310.77,126,7,338,256.79,https://example.com/images/product/alienware_gaming_laptop.jpg
49,49,Logitech Gaming Keyboard,G Pro,Logitech Gaming Keyboard (G Pro) is a high-quality product in the Gaming category.,Gaming distributor information.,3 years warranty,267.08,18,7,105,,https://example.com/images/product/logitech_gaming_keyboard.jpg
